Meadow,Quadrat,Lat,Lon
N,1,50.95282,-114.90171
N,2,50.9531,-114.9012
N,3,50.9532,-114.90042
I,1,50.96339,-114.92384
I,2,50.9628,-114.92375
I,3,50.9631,-114.9247
I,4,50.96341,-114.92451
I,5,50.96372,-114.92529
S,1,50.959568,-114.876801
S,2,50.96125,-114.876475
S,3,50.960422,-114.876878
S,4,50.960641,-114.87641
S,5,50.961152,-114.876362
Q,1,50.9586,-114.887
Q,2,50.95856,-114.88833
Q,3,50.95786,-114.88841
Q,4,50.95824,-114.88944
Q,5,50.95894,-114.88952
P,1,50.95709,-114.89079
P,2,50.95632,-114.89177
P,3,50.95626,-114.89108
P,4,50.95541,-114.89131
P,5,50.95481,-114.89049
